source	registry_source_id	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	source_role	corpus_policy	source_format	locator
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	originate	originate			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	Religious	religious			Describing festivals	1	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; only mechanical case or quotation-mark normalization applied to the headword; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=1,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	attend a parade	attend a parade			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	display lanterns	display lanterns			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	exchange pleasantries	exchange pleasantries			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	feast on delicacies	feast on delicacies			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	gather with family	gather with family			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	go 'trick or treating'	go trick or treating			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; only mechanical case or quotation-mark normalization applied to the headword; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	offer gifts	offer gifts			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	paint eggs	paint eggs			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	sings carols	sings carols			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	sweep family graves	sweep family graves			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	watched a fireworks display	watched a fireworks display			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	wear traditional clothing	wear traditional clothing			Festivities	2	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=2,section=caption-target
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	capital	capital			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	bottle	bottle			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	candle	candle			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	musical	musical			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	purple	purple			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	natural	natural			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	temple	temple			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	ritual	ritual			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	seasonal	seasonal			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	special	special			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	traditional	traditional			Word endings -al and -le	5	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=5,section=word-formation
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	flock to	flock to			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	famous for	famous for			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	to try our hand at	to try our hand at			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	an enlightening experience	an enlightening experience			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	symbolize	symbolize			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	must-see	must-see			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	get a taste of	get a taste of			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	legendary	legendary			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	the time of their lives	the time of their lives			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
OEF 1B Unit 5 Vocabulary and Writing Book	oef-1bu5-vocabulary-writing-book	feasting together	feasting together			Useful festival expressions	7	registry:oef-1bu5-vocabulary-writing-book		Editorially reviewed against the complete 8-page source; printed target wording preserved; source-supplied CEFR and POS are absent, so neither is inferred.	lexical_candidate	candidate_only	pdf	pdf:page=7,section=fixed-phrases
