source	raw_term	headword	pos	cefr	topic_or_section	pdf_page	source_ref	definition	notes	registry_source_id	source_role	corpus_policy	source_format	locator
Student IELTS Listening Unknowns 2026-08-01	meditation	meditation	n.		心理与文化		student-listening-unknowns-2026-08-01:item-25		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:25
Student IELTS Listening Unknowns 2026-08-01	reminder	reminder	n.		记忆与沟通		student-listening-unknowns-2026-08-01:item-26		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:26
Student IELTS Listening Unknowns 2026-08-01	spiritual	spiritual	adj.		文化与心理		student-listening-unknowns-2026-08-01:item-27		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:27
Student IELTS Listening Unknowns 2026-08-01	spiral	spiral	n. / adj. / v.		形状与变化		student-listening-unknowns-2026-08-01:item-28		Learner-reported listening unknown; keep geometric and abstract senses separate.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:28
Student IELTS Listening Unknowns 2026-08-01	wind	wind	n.		天气与环境		student-listening-unknowns-2026-08-01:item-29		Learner-reported listening unknown; bare audio uses noun wind /wɪnd/.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:29
Student IELTS Listening Unknowns 2026-08-01	metaphor	metaphor	n.		语言与文学		student-listening-unknowns-2026-08-01:item-30		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:30
Student IELTS Listening Unknowns 2026-08-01	confusion	confusion	n.		认知与沟通		student-listening-unknowns-2026-08-01:item-31		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:31
Student IELTS Listening Unknowns 2026-08-01	pattern	pattern	n.		形状与分析		student-listening-unknowns-2026-08-01:item-32		Learner-reported listening unknown; current training sense is a visible or abstract recurring pattern.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:32
Student IELTS Listening Unknowns 2026-08-01	hedge	hedge	n. / v.		景观与学术表达		student-listening-unknowns-2026-08-01:item-33		Learner-reported listening unknown; physical and academic-qualification senses require separate contexts.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:33
Student IELTS Listening Unknowns 2026-08-01	intricate	intricate	adj.		描述与艺术		student-listening-unknowns-2026-08-01:item-34		Learner-reported listening unknown; CEFR withheld here until source-specific verification.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:34
Student IELTS Listening Unknowns 2026-08-01	labyrinth	labyrinth	n. [C]		空间与隐喻		student-listening-unknowns-2026-08-01:item-35		Learner-reported listening unknown; literal and figurative senses require separate contexts.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:35
Student IELTS Listening Unknowns 2026-08-01	twist	twist	n. / v.		运动与叙事		student-listening-unknowns-2026-08-01:item-36		Learner-reported listening unknown; physical turn and narrative senses require separate contexts.	student-listening-unknowns-2026-08-01	target_reference	target	other	item:36
