id	headword	parts_of_speech	cefr_levels	primary_skill	mode	priority	prompt_status	teacher_approved_sense	image_status	proper_noun_sense_removed
flower-5a46b825	flower	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
forest-0bcd9af7	forest	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
fruit-f053b8b6	fruit	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
garden-b1ade531	garden	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
glass-170fd7e8	glass	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
golf-e53d92ca	golf	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
green-bc74f4f0	green	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
grey-7d1f8f91	grey	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
guest-35675e68	guest	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
gym-21d28631	gym	noun	A1|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
helicopter-5bf05988	helicopter	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
hill-5ce9c4df	hill	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
hit-d7d390bd	hit	noun|verb	A2|B1|B2	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
hockey-f2847b1b	hockey	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
hospital-2b2d005e	hospital	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
hot-4bd8edda	hot	adjective	A1|A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
hunt-8c72b58e	hunt	noun|verb	B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
indoor-227980c2	indoor	adjective	A2|B1|C1	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
international-4ff75f80	international	adjective	A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
island-7bd1a907	island	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
journalist-4c7c6120	journalist	noun	A2|B1|B2	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
just-d95b79cf	just	adjective|adverb	A1|A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
kitchen-2f56c0ac	kitchen	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
lake-f3c45b69	lake	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
laptop-e068381b	laptop	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
last-213ed3ea	last	adjective|adverb|determiner|noun|verb|verb phrase	A1|A2|B1|B2	speaking	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
law-c660f2f3	law	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
learn-7dca5d4c	learn	verb	A1|A2|B1	listening	action-scene	high	needs_teacher_approved_sense		pending	no
leather-79acf534	leather	adjective|noun	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
lecture-af09e2fc	lecture	noun|verb	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
lecturer-1dfbba5b	lecturer	noun	B1|B2|C1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
library-00299a40	library	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
light-dfccc06f	light	adjective|noun|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
lion-eaf14a01	lion	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
literature-efa0c129	literature	noun	B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
local-939bb46a	local	adjective|noun	A1|B1|B2|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
lorry-ce2d18b9	lorry	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
lose-4db924a2	lose	verb|verb phrase	A1|A2|B1|B2	speaking	context-scene	high	needs_teacher_approved_sense		pending	no
manager-1a8565a9	manager	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
match-ef5c844e	match	noun|verb|verb phrase	A1|A2|B1|B2	speaking	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
meal-8504d96b	meal	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
mean-5f00f7a0	mean	adjective|verb	A1|A2|B1|B2	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
meat-bb40f75a	meat	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
midnight-62b487bc	midnight	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
mild-021c64fe	mild	adjective	B1|B2|C1	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
milk-cf5dbf0e	milk	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
minute-04987fca	minute	adjective|noun	A1|A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
mountain-d79ac4a2	mountain	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
museum-5019bac9	museum	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
neighbour-b8a81885	neighbour	noun	A1|A2|B1|B2	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
newspaper-29cf0a63	newspaper	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
occupation-75afa872	occupation	noun	A2|B1|B2	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
opera-6feda84d	opera	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
orange-ef0ebbb7	orange	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
order-cce55e43	order	conjunction|noun|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
paper-950593b1	paper	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
park-ce4151ff	park	noun|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
pass-9d4e1e23	pass	noun|verb|verb phrase	A2|B1|B2	speaking	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
passenger-55fc4ba8	passenger	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
pencil-d2fc5124	pencil	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
permanent-8699f2b0	permanent	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
photography-9aa15b5b	photography	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
pilot-eec7121e	pilot	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
pink-b0f7f128	pink	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
pitch-5bfb7116	pitch	noun	B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
plastic-141a29d5	plastic	adjective|noun	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
platform-3c72abbe	platform	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
plot-0fee558e	plot	noun|verb	B1|B2|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
pop-4f197c99	pop	adjective|noun|verb	A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
practice-e17674f7	practice	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
prize-92969bb9	prize	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
purple-afaed754	purple	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
radio-d432c352	radio	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
red-78988010	red	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
reliable-c5e8cfa7	reliable	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
rent-511bd3eb	rent	noun|verb	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
restaurant-32ac991d	restaurant	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
review-61e62b21	review	noun|verb	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
rice-6939278d	rice	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
river-08fbe5a2	river	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
rock-38464bf0	rock	noun|verb	A2|B1|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
safe-bf31c52c	safe	adjective	A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
secondary-e059fc69	secondary	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
secretary-9248e701	secretary	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
slice-0a5228e6	slice	noun|verb	A2|B1|B2	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
sound-5e2e97c3	sound	adjective|noun|verb	A1|A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
space-0803df4f	space	noun	A1|A2|B1|B2	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
spell-9e8fbda8	spell	noun|verb	A1|A2|B1|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
square-bfed89e8	square	adjective|noun	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
stadium-1fd68898	stadium	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
staff-6ccb4b7c	staff	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
stamp-bf8f8058	stamp	noun|verb	A2|B1|C1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
steal-b07df62b	steal	verb	A2|B1|B2	reading	action-scene	high	needs_teacher_approved_sense		pending	no
storm-6ad3a947	storm	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
straight-6ec09feb	straight	adjective|adverb	A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
street-d3a9fb07	street	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
stress-165bd364	stress	noun|verb	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
suit-338ad11a	suit	noun|verb|verb phrase	A2|B1|B2	speaking	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
support-5bdcd3c0	support	noun|verb|verb phrase	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
taxi-4d82205a	taxi	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
team-d25187dc	team	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
television-60085763	television	noun	A1|A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
temperature-7033e90f	temperature	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
temporary-dcdc8b2d	temporary	adjective	B1|B2	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
tennis-9c881bdb	tennis	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
term-2a4c3b84	term	noun|verb	A2|B1|B2	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
textbook-796bee18	textbook	noun	B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
theatre-dcbed361	theatre	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
top-af2c7b4c	top	adjective|noun|verb	A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
total-5a537e20	total	adjective|noun|verb	A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
tourist-3f2c9248	tourist	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
train-94efdd6f	train	noun|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
umbrella-3ff95ac9	umbrella	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
valley-484c4c4a	valley	noun	A2|B1|B2	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
variety-21e7a8ba	variety	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
view-8f3a0754	view	noun|verb	A2|B1|B2	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
village-3bdc3ec6	village	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
waiter-bda55eb0	waiter	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
warm-d83fc386	warm	adjective|verb	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
weekend-505eabdf	weekend	noun	A1|A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
well-bd848328	well	adjective|adverb|exclamation|noun	A1|A2|B1|C1	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
wet-c8e275e6	wet	adjective	A2|B1	listening	contrast-pair	high	needs_teacher_approved_sense		pending	no
white-528cef87	white	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
wood-e8002c16	wood	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
wool-a7a60b68	wool	noun	A2|B1	listening	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
world-7c211433	world	adjective|noun	A1|A2|B1|B2	writing	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
yellow-96de5543	yellow	adjective|noun	A1|A2|B1	listening	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
ability-083dbabe	ability	noun	A2|B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
able-782e5ce8	able	adjective	A2|B1	reading	contrast-pair	high	needs_teacher_approved_sense		pending	no
about-5780daf6	about	adverb|preposition	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
above-9fbb3974	above	adjective|adverb|preposition	A1|A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
acceptable-cab5b6e0	acceptable	adjective	B1|B2|C1	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
accident-f2b195dc	accident	noun	A2|B1	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
accommodation-65b0cfa2	accommodation	noun	B1	listening	concept-metaphor	high	needs_teacher_approved_sense		pending	no
across-9a82bf01	across	adverb|preposition	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
act-76f3b5a7	act	noun|verb	A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
actor-4ed3655e	actor	noun	A1|A2|B1	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
actually-d617b5ef	actually	adverb	A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
add-58d1bbce	add	verb	A1|A2|B1	reading	action-scene	high	needs_teacher_approved_sense		pending	no
address-c6621802	address	noun|verb	A1|A2|B1|B2	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
admission-341604db	admission	noun	B1|B2|C1	writing	concept-metaphor	high	needs_teacher_approved_sense		pending	no
adult-82aef589	adult	adjective|noun	A1|A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
adventure-ae78612a	adventure	noun	A2|B1	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
advertisement-f264e6fd	advertisement	noun	A2|B1	reading	concept-metaphor	high	needs_teacher_approved_sense		pending	no
afraid-2ae38709	afraid	adjective	A1|A2|B1	reading	contrast-pair	high	needs_teacher_approved_sense		pending	no
after-405906c9	after	adverb|conjunction|preposition	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
afternoon-7a10f399	afternoon	noun	A1|A2|B1	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
afterwards-ad61e7ac	afterwards	adverb	A2|B1|B2	writing	manner-sequence	high	needs_teacher_approved_sense		pending	no
again-aaa4d5f8	again	adverb	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
age-5dc56b9a	age	noun|verb	A1|A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
agency-8c886bd3	agency	noun	B1|B2	writing	concept-metaphor	high	needs_teacher_approved_sense		pending	no
ago-f03c0a59	ago	adverb	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
agree-c9600527	agree	verb	A1|A2|B1	reading	action-scene	high	needs_teacher_approved_sense		pending	no
air-d1d9b935	air	noun	A1|A2|B1	reading	object-or-context-scene	high	needs_teacher_approved_sense		pending	no
all-d87c4480	all	adjective|adverb|determiner|pronoun	A1|A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
almost-f9e2ef61	almost	adverb	A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
alone-1b05d637	alone	adjective|adverb	A2|B1	reading	multi-sense-panel	high	needs_teacher_approved_sense		pending	no
already-e9bc90ed	already	adverb	A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
also-09706c41	also	adverb	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
always-6656018a	always	adverb	A1|A2|B1	reading	manner-sequence	high	needs_teacher_approved_sense		pending	no
amazed-f301793c	amazed	adjective	B1|B2	writing	contrast-pair	high	needs_teacher_approved_sense		pending	no
ambulance-d036c133	ambulance	noun	A2|B1|B2	writing	concept-metaphor	high	needs_teacher_approved_sense		pending	no
