id	headword	status	parts_of_speech	cefr_levels	primary_skill	primary_reason	skill_labels	skill_confidence	source_count	sources	topics	image_mode	image_priority	homograph_candidate
un-imaginative-60297d9e	(un)imaginative	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
un-kind-c4dbd728	(un)kind	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
un-popular-5d843001	(un)popular	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
un-reliable-24361bab	(un)reliable	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 30 | Personality	contrast-pair	medium	false
wet-dry-season-9f4cf83a	(wet/dry) season	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 25 | Climate and weather	context-scene	medium	false
a-concept-car-15b47001	a concept car	active	noun	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 09	Unit 09	context-scene	low	false
a-fair-number-of-sth-aef8fb7f	a fair number of sth	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 06	Unit 06	context-scene	low	false
a-gap-year-5141ca32	a gap year	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	时间 Time	none	none	false
a-high-incidence-of-sth-13edc9fd	a high incidence of sth	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 13	Unit 13	context-scene	low	false
a-hotbed-of-sth-f87440a3	a hotbed of sth	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 04	Unit 04	context-scene	low	false
a-link-between-sth-and-sth-c0f4c2eb	a link between sth and sth	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 03	Unit 03	context-scene	low	false
a-an-f05a6367	a, an	active	article	A1|A2	speaking	highest evidence score	listening|speaking|reading	medium	2	Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	none	none	false
a-m-d5f426ad	a.m.	active	adverb	A2|B1	speaking	highest evidence score	listening|speaking	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)	Alphabetical list: A	manner-sequence	high	false
a-an-43ba2910	a/an	active	determiner	B1	speaking	highest evidence score	listening|speaking|reading	medium	1	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	Alphabetical list: A	none	none	false
abandon-f930859e	abandon	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
ability-083dbabe	ability	active	noun	A2|B1	listening	explicit IELTS listening source	listening	high	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2|工作 Workplaces	concept-metaphor	high	false
able-782e5ce8	able	active	adjective	A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	contrast-pair	high	false
abolish-5194d926	abolish	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
abortion-07a47c95	abortion	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
about-5780daf6	about	active	adverb|preposition	A1|A2|B1	reading	highest evidence score	listening|speaking|reading	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	manner-sequence	high	false
above-9fbb3974	above	active	adjective|adverb|preposition	A1|A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	multi-sense-panel	high	true
abroad-5fcf5cdf	abroad	active	adverb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	manner-sequence	high	false
abseiling-38b2802b	abseiling	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	运动 Sports	none	none	false
absence-d3f03149	absence	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
absent-16ca7689	absent	active	adjective	B1|C1	writing	advanced descriptive or abstract production word	reading|writing	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 5000 by CEFR level	Alphabetical list: A|CEFR C1	contrast-pair	high	false
absolute-da4dbfbc	absolute	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
absolutely-fac99d4f	absolutely	active	adverb	B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	manner-sequence	high	false
absolutely-perfect-9171fc3b	absolutely perfect	active	adjective|adverb	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 01	Unit 01	context-scene	low	false
absorb-846e2a86	absorb	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
abstract-ec3ec333	abstract	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 5000 by CEFR level	CEFR B2|Unit 36 | Art	contrast-pair	high	false
abstract-painting-18d19a08	abstract painting	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 06	Unit 06	context-scene	low	false
absurd-c51b51e7	absurd	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
abundance-e5e3b73b	abundance	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
abuse-39ca1c87	abuse	active	noun|verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	multi-sense-panel	low	true
academic-27bc2c56	academic	active	adjective|noun	B1|B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B1|CEFR B2	multi-sense-panel	medium	true
academy-cb2766cf	academy	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
accelerate-0b6adcfd	accelerate	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
accelerator-a8e84e27	accelerator	active	noun	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 05	Unit 05	object-or-context-scene	low	false
accent-50f8438e	accent	active	noun	B1|B2	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 5000 by CEFR level	Alphabetical list: A|CEFR B2	object-or-context-scene	high	false
accept-5fb801f2	accept	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	action-scene	high	false
acceptable-cab5b6e0	acceptable	active	adjective	B1|B2|C1	writing	advanced descriptive or abstract production word	reading|writing	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Complete CAE Extended Unit 08|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B2|Unit 08	contrast-pair	high	false
acceptance-0dfa061f	acceptance	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
access-0f12541a	access	active	noun|verb	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	multi-sense-panel	high	true
accessible-7b09471c	accessible	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
accident-f2b195dc	accident	active	noun	A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	object-or-context-scene	high	false
accidentally-b7f71f41	accidentally	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
acclimatise-62f945a5	acclimatise	active	verb	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 05	Unit 05	action-scene	low	false
accommodate-d0da2a38	accommodate	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
accommodation-65b0cfa2	accommodation	active	noun	B1	listening	explicit IELTS listening source	listening	high	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1|地点 Places|教育 Studying	concept-metaphor	high	false
accompany-84900cb6	accompany	active	verb	B1|B2	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B2	action-scene	high	false
accomplish-525cac8b	accomplish	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
accomplishment-b0495f6e	accomplishment	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
accordance-5bc1fa29	accordance	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
according-to-3afbcfb4	according to	active	preposition|prepositional phrase	A2|B1	speaking	multiword productive pattern	listening|speaking|reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	none	none	false
accordingly-e5fc8009	accordingly	active	adverb	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	manner-sequence	low	false
account-ca20728d	account	active	noun|verb	B1|B2	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1|CEFR B2	multi-sense-panel	high	true
account-for-sth-ce1dd8c9	account for sth	active	verb	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 02	Unit 02	context-scene	low	false
accountability-f7f50285	accountability	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
accountable-9611bd9d	accountable	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
accountant-4cd5edcd	accountant	active	noun	B1|B2	listening	explicit IELTS listening source	listening|reading	high	4	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Grammar and Vocabulary for First and First for Schools wordlist (2015)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 5000 by CEFR level	Alphabetical list: A|CEFR B2|Unit 43 | Employment|工作 Works	object-or-context-scene	high	false
accumulate-da612b00	accumulate	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
accumulation-49d1ce87	accumulation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
accuracy-26de05a4	accuracy	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
accurate-72c8f75b	accurate	active	adjective	B1|B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B2	contrast-pair	high	false
accurately-659e5375	accurately	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
accusation-5116a72c	accusation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
accuse-d3e0c4f5	accuse	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
accused-2014850b	accused	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
ache-f4d86d36	ache	active	noun	B1	reading	highest evidence score	listening|speaking|reading|writing	review	1	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	Alphabetical list: A	object-or-context-scene	medium	false
achieve-f9659d46	achieve	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	action-scene	high	false
achievement-c979f9ed	achievement	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	concept-metaphor	high	false
acid-434b0a6d	acid	active	adjective|noun	B2|C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2|CEFR C1	multi-sense-panel	medium	true
acid-rain-a0821474	acid rain	active	noun	B2	listening	explicit IELTS listening source	listening	high	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|IELTS Listening 1200 High-Frequency Wordlist	Unit 39 | The environment|环境 Environment	context-scene	high	false
acknowledge-4f6c0a36	acknowledge	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
acquaintance-5695170f	acquaintance	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 32 | Family and relationships	concept-metaphor	medium	false
acquire-657d3c77	acquire	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
acquisition-e6520fc7	acquisition	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
acre-7742d495	acre	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
across-9a82bf01	across	active	adverb|preposition	A1|A2|B1	reading	highest evidence score	listening|speaking|reading	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	manner-sequence	high	false
act-76f3b5a7	act	active	noun|verb	A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2|CEFR B1	multi-sense-panel	high	true
act-on-sb-s-468117a3	act on sb's	active	verb	C1	reading	highest evidence score	reading|writing	medium	2	Complete CAE Extended Unit 01|Complete CAE Phrasal Verbs	Phrasal verbs|Unit 01	context-scene	medium	false
action-34eb4c4e	action	active	noun	A1|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	concept-metaphor	high	false
activate-2c1e2b1d	activate	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
activation-6d183114	activation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
active-2bb6b986	active	active	adjective	A2|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	contrast-pair	high	false
activist-78ac5b2a	activist	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
activity-0bf41704	activity	active	noun	A1|A2|B1	listening	explicit IELTS listening source	listening	high	4	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1|其他 Other	concept-metaphor	high	false
actor-4ed3655e	actor	active	noun	A1|A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	object-or-context-scene	high	false
actress-99176a9c	actress	active	noun	A1|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	object-or-context-scene	high	false
actual-50f46198	actual	active	adjective	B2	listening	explicit IELTS listening source	listening|reading	high	2	Oxford 3000 by CEFR level|Student IELTS Listening Unknowns 2026-08-01	CEFR B2|通用学术	contrast-pair	high	false
actually-d617b5ef	actually	active	adverb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A2	manner-sequence	high	false
acute-041fab82	acute	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	2	Complete CAE Extended Unit 06|Oxford 5000 by CEFR level	CEFR C1|Unit 06	contrast-pair	medium	false
ad-4aeb195c	ad	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	object-or-context-scene	high	false
adapt-40fe84e6	adapt	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
adaptation-64c758cd	adaptation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
add-58d1bbce	add	active	verb	A1|A2|B1	reading	highest evidence score	listening|speaking|reading	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1	action-scene	high	false
add-insult-to-injury-66358dd5	add insult to injury	active	verb|verb phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 01	Unit 01	context-scene	low	false
addiction-ad38cf55	addiction	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
addition-c3805175	addition	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	concept-metaphor	high	false
additional-20412476	additional	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
additionally-18f88a80	additionally	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
address-c6621802	address	active	noun|verb	A1|A2|B1|B2	reading	highest evidence score	reading	high	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR A1|CEFR B2	multi-sense-panel	high	true
adept-bdc04d26	adept	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 03	Unit 03	contrast-pair	low	false
adequate-48a72c68	adequate	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	contrast-pair	medium	false
adequately-9e6d22eb	adequately	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
adhere-99e2bde7	adhere	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
adjacent-7d1dd83e	adjacent	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
adjust-a11f5c3b	adjust	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
adjust-sth-66007d1d	adjust sth	active	verb	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 03	Unit 03	context-scene	low	false
adjustment-cf8e0872	adjustment	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
administer-4b8fb546	administer	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
administration-056cbe59	administration	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 3000 by CEFR level	CEFR B2|Unit 43 | Employment	concept-metaphor	high	false
administrative-24c8529e	administrative	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
administrator-b3aca92c	administrator	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
admire-af964fdf	admire	active	verb	B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	action-scene	high	false
admission-341604db	admission	active	noun	B1|B2|C1	writing	advanced descriptive or abstract production word	reading|writing	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 5000 by CEFR level	Alphabetical list: A|CEFR C1|Unit 42 | School and education	concept-metaphor	high	false
admit-4a4f47d5	admit	active	verb	B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: A|CEFR B1	action-scene	high	false
adolescent-289414ac	adolescent	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
adopt-66303ec0	adopt	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
adoption-0ff071e9	adoption	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
adrenalin-0d738c44	adrenalin	active	noun	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 05	Unit 05	object-or-context-scene	low	false
